Region 	 | # Voxels 	 | MD mean   	 | MD std   	 | FA mean  	 | FA std   	 | RD mean  	 | RD std   	 | TV mean  	 | TV std   	 | TC mean  	 | TC std   	 
    1 	 |    71634 	 | 0.0001509 	 | 0.000020 	 | 0.4296498 	 | 0.1103746 	 | 0.0001130 	 | 0.0000205 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
    2 	 |      161 	 | 0.0001357 	 | 0.000009 	 | 0.3777365 	 | 0.0892882 	 | 0.0001060 	 | 0.0000139 	 | 0.0000007 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    3 	 |     1688 	 | 0.0001336 	 | 0.000012 	 | 0.3872509 	 | 0.0986957 	 | 0.0001042 	 | 0.0000160 	 | 0.0000006 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    4 	 |      133 	 | 0.0001648 	 | 0.000010 	 | 0.3673527 	 | 0.0749174 	 | 0.0001315 	 | 0.0000149 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    5 	 |       29 	 | 0.0001012 	 | 0.000007 	 | 0.3504306 	 | 0.0777663 	 | 0.0000814 	 | 0.0000100 	 | 0.0000003 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    6 	 |       65 	 | 0.0001625 	 | 0.000018 	 | 0.3633447 	 | 0.0690482 	 | 0.0001274 	 | 0.0000174 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    7 	 |     1641 	 | 0.0001308 	 | 0.000012 	 | 0.3964684 	 | 0.0990503 	 | 0.0001009 	 | 0.0000153 	 | 0.0000006 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    8 	 |      127 	 | 0.0001795 	 | 0.000008 	 | 0.4493687 	 | 0.1224260 	 | 0.0001326 	 | 0.0000208 	 | 0.0000012 	 | 0.0000000 	 | 0.0000000 	 | 0.0000004 	 
    9 	 |       47 	 | 0.0001488 	 | 0.000008 	 | 0.3683168 	 | 0.0910330 	 | 0.0001167 	 | 0.0000152 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   10 	 |       43 	 | 0.0001721 	 | 0.000013 	 | 0.4135265 	 | 0.0608450 	 | 0.0001334 	 | 0.0000154 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   11 	 |       29 	 | 0.0001604 	 | 0.000007 	 | 0.4139121 	 | 0.0561005 	 | 0.0001236 	 | 0.0000117 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   12 	 |       80 	 | 0.0001720 	 | 0.000012 	 | 0.4127001 	 | 0.0764322 	 | 0.0001330 	 | 0.0000164 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
