Region 	 | # Voxels 	 | MD mean   	 | MD std   	 | FA mean  	 | FA std   	 | RD mean  	 | RD std   	 | TV mean  	 | TV std   	 | TC mean  	 | TC std   	 
    1 	 |    62048 	 | 0.0001476 	 | 0.000019 	 | 0.4185102 	 | 0.1090296 	 | 0.0001120 	 | 0.0000207 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
    2 	 |       43 	 | 0.0001641 	 | 0.000009 	 | 0.4499400 	 | 0.0809147 	 | 0.0001201 	 | 0.0000166 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    3 	 |       82 	 | 0.0001688 	 | 0.000014 	 | 0.4887876 	 | 0.1189284 	 | 0.0001210 	 | 0.0000246 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    4 	 |       44 	 | 0.0001580 	 | 0.000013 	 | 0.4532012 	 | 0.0948727 	 | 0.0001159 	 | 0.0000197 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    5 	 |       40 	 | 0.0001672 	 | 0.000009 	 | 0.4587278 	 | 0.0686313 	 | 0.0001212 	 | 0.0000138 	 | 0.0000012 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    6 	 |       33 	 | 0.0001740 	 | 0.000016 	 | 0.5183806 	 | 0.1149703 	 | 0.0001187 	 | 0.0000269 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    7 	 |       28 	 | 0.0001856 	 | 0.000019 	 | 0.4037207 	 | 0.0864821 	 | 0.0001451 	 | 0.0000260 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    8 	 |     1670 	 | 0.0001337 	 | 0.000012 	 | 0.3877471 	 | 0.0989922 	 | 0.0001042 	 | 0.0000162 	 | 0.0000006 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    9 	 |      222 	 | 0.0001698 	 | 0.000009 	 | 0.4303865 	 | 0.1044463 	 | 0.0001264 	 | 0.0000184 	 | 0.0000012 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   10 	 |       27 	 | 0.0001953 	 | 0.000026 	 | 0.4220873 	 | 0.1390076 	 | 0.0001478 	 | 0.0000394 	 | 0.0000015 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   11 	 |       37 	 | 0.0001794 	 | 0.000015 	 | 0.4453405 	 | 0.0888869 	 | 0.0001323 	 | 0.0000221 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   12 	 |       33 	 | 0.0001731 	 | 0.000007 	 | 0.4805118 	 | 0.0582469 	 | 0.0001229 	 | 0.0000122 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   13 	 |      104 	 | 0.0001870 	 | 0.000019 	 | 0.4438538 	 | 0.1214933 	 | 0.0001387 	 | 0.0000294 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   14 	 |       29 	 | 0.0001779 	 | 0.000009 	 | 0.4070982 	 | 0.0876285 	 | 0.0001372 	 | 0.0000173 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   15 	 |       80 	 | 0.0001618 	 | 0.000009 	 | 0.3665059 	 | 0.0786295 	 | 0.0001293 	 | 0.0000146 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   16 	 |       44 	 | 0.0001753 	 | 0.000010 	 | 0.4682766 	 | 0.1191914 	 | 0.0001250 	 | 0.0000224 	 | 0.0000014 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
