Region 	 | # Voxels 	 | MD mean   	 | MD std   	 | FA mean  	 | FA std   	 | RD mean  	 | RD std   	 | TV mean  	 | TV std   	 | TC mean  	 | TC std   	 
    1 	 |    88058 	 | 0.0001572 	 | 0.000025 	 | 0.4249993 	 | 0.1153911 	 | 0.0001184 	 | 0.0000258 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000004 	 
    2 	 |     1709 	 | 0.0001337 	 | 0.000013 	 | 0.3864649 	 | 0.0990875 	 | 0.0001044 	 | 0.0000162 	 | 0.0000006 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    3 	 |      140 	 | 0.0001653 	 | 0.000010 	 | 0.3721165 	 | 0.0803069 	 | 0.0001313 	 | 0.0000156 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    4 	 |       29 	 | 0.0001012 	 | 0.000007 	 | 0.3504306 	 | 0.0777663 	 | 0.0000814 	 | 0.0000100 	 | 0.0000003 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    5 	 |       65 	 | 0.0001625 	 | 0.000018 	 | 0.3633447 	 | 0.0690482 	 | 0.0001274 	 | 0.0000174 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    6 	 |     1660 	 | 0.0001309 	 | 0.000012 	 | 0.3952164 	 | 0.0994406 	 | 0.0001011 	 | 0.0000154 	 | 0.0000006 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    7 	 |       30 	 | 0.0001855 	 | 0.000014 	 | 0.4961803 	 | 0.0983358 	 | 0.0001299 	 | 0.0000238 	 | 0.0000015 	 | 0.0000000 	 | 0.0000000 	 | 0.0000004 	 
    8 	 |       27 	 | 0.0001850 	 | 0.000014 	 | 0.4692399 	 | 0.0959219 	 | 0.0001348 	 | 0.0000235 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
    9 	 |       53 	 | 0.0001847 	 | 0.000019 	 | 0.4367881 	 | 0.1031582 	 | 0.0001371 	 | 0.0000251 	 | 0.0000013 	 | 0.0000000 	 | 0.0000000 	 | 0.0000004 	 
   10 	 |       59 	 | 0.0001900 	 | 0.000019 	 | 0.3370891 	 | 0.0701388 	 | 0.0001570 	 | 0.0000224 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   11 	 |       41 	 | 0.0001489 	 | 0.000008 	 | 0.3667936 	 | 0.0940272 	 | 0.0001171 	 | 0.0000154 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   12 	 |       29 	 | 0.0001882 	 | 0.000014 	 | 0.3720512 	 | 0.1060894 	 | 0.0001511 	 | 0.0000228 	 | 0.0000011 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   13 	 |       64 	 | 0.0001373 	 | 0.000010 	 | 0.4020177 	 | 0.0909345 	 | 0.0001059 	 | 0.0000150 	 | 0.0000007 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
   14 	 |       29 	 | 0.0001440 	 | 0.000012 	 | 0.4510894 	 | 0.1045179 	 | 0.0001064 	 | 0.0000202 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
   15 	 |       48 	 | 0.0001536 	 | 0.000013 	 | 0.4130534 	 | 0.0906768 	 | 0.0001190 	 | 0.0000189 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
