Region 	 | # Voxels 	 | MD mean   	 | MD std   	 | FA mean  	 | FA std   	 | RD mean  	 | RD std   	 | TV mean  	 | TV std   	 | TC mean  	 | TC std   	 
    1 	 |     3039 	 | 0.0001375 	 | 0.000015 	 | 0.5282652 	 | 0.1148103 	 | 0.0000924 	 | 0.0000218 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    2 	 |      635 	 | 0.0001471 	 | 0.000011 	 | 0.4461379 	 | 0.0978755 	 | 0.0001082 	 | 0.0000170 	 | 0.0000009 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    3 	 |       93 	 | 0.0001487 	 | 0.000005 	 | 0.5113091 	 | 0.0548694 	 | 0.0001020 	 | 0.0000087 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000002 	 
    4 	 |      676 	 | 0.0001235 	 | 0.000009 	 | 0.5181892 	 | 0.0777380 	 | 0.0000832 	 | 0.0000123 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    5 	 |       27 	 | 0.0001663 	 | 0.000004 	 | 0.4054067 	 | 0.0382125 	 | 0.0001336 	 | 0.0000078 	 | 0.0000007 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    6 	 |       40 	 | 0.0001748 	 | 0.000007 	 | 0.5377392 	 | 0.0849570 	 | 0.0001145 	 | 0.0000133 	 | 0.0000016 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
    7 	 |       32 	 | 0.0001306 	 | 0.000006 	 | 0.5908562 	 | 0.0719341 	 | 0.0000797 	 | 0.0000112 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    8 	 |       33 	 | 0.0001328 	 | 0.000008 	 | 0.5353623 	 | 0.0825482 	 | 0.0000873 	 | 0.0000131 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
    9 	 |     1685 	 | 0.0001534 	 | 0.000010 	 | 0.4685025 	 | 0.1023801 	 | 0.0001101 	 | 0.0000157 	 | 0.0000010 	 | 0.0000000 	 | 0.0000000 	 | 0.0000003 	 
   10 	 |       34 	 | 0.0001316 	 | 0.000007 	 | 0.5275281 	 | 0.0844750 	 | 0.0000878 	 | 0.0000132 	 | 0.0000008 	 | 0.0000000 	 | 0.0000000 	 | 0.0000001 	 
